127.0.0.1 - - [20/Mar/2025:12:20:38 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:39 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:39 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:40 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:41 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/images/aishu.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [20/Mar/2025:12:20:42 +0530] "GET /FirstWebProject/index.html HTTP/1.1" 304 -
